CODIGO,ETAPA,ENTIDAD SOCIA NACIONAL
COL001,Unico encuentro,Ministerio del Interior
COL002,Unico encuentro,Consejería para el Posconflicto
COL003,Unico encuentro,APC Colombia
COL004,Unico encuentro,Agencia para la Reincorporación y Normalización - ARN
COL005,Unico encuentro,No registra
COL006,Unico encuentro,Sistema Regional de Áreas Protegidas (SIRAP) del Caribe
COL007,Apertura,Ministerio de Agricultura y Desarrollo Rural - MADR
COL007,Seguimiento/Cierre,Agencia Colombiana para la Reintegración (ACR)
COL008,Unico encuentro,Agencia Nacional de Progamas Regionales de Desarrollo y Paz (Redprodepaz)
COL009,Unico encuentro,Departamento Administrativo para la Prosperidad Social
COL010,Unico encuentro,Red de Agencias de Desarrollo Local – RED ADELCO
COL011,Unico encuentro,Agencia Nacional de Progamas Regionales de Desarrollo y Paz (Redprodepaz)
COL012,Unico encuentro,Misión de Observación Electoral - MOE
COL013,Apertura,Ministerio del trabajo
COL013,Seguimiento/Cierre,Ministerio del trabajo
COL014,Unico encuentro,Agencia Colombiana para la Reintegración (ACR)
COL015,Unico encuentro,Ministerio de Agricultura y Desarrollo Rural - MADR
COL016,Unico encuentro,Agencia Colombiana para la Reintegración (ACR)
COL017,Unico encuentro,"Ministerio de Comercio, Industria y Turismo"
COL018,Unico encuentro,Ministerio de Justicia y del Derecho
COL019,Unico encuentro,Ministerio del Interior
COL020,Unico encuentro,Departamento Nacional de Planeación
COL021,Unico encuentro,Agencia de Renovación del Territorio - ART
COL022,Unico encuentro,Agencia de Renovación del Territorio - ART
COL023,Unico encuentro,"Ministerio de Comercio, Industria y Turismo"
COL024,Unico encuentro,Artesanias de Colombia
COL025,Unico encuentro,Agencia de Renovación del Territorio - ART
COL026,Unico encuentro,Departamento Administrativo para la Prosperidad Social
COL027,Unico encuentro,Agencia Nacional para la Reintegración y la Normalización - ARN
COL028,Apertura,Agencia de Desarrollo Rural - ADR
COL028,Seguimiento/Cierre,Agencia de Desarrollo Rural - ADR
COL029,Apertura,Departamento Administrativo para la Prosperidad Social
COL029,Seguimiento/Cierre,Departamento Administrativo para la Prosperidad Social
COL030,Apertura,Ministerio de Agricultura y Desarrollo Rural - MADR
COL030,Seguimiento/Cierre,Ministerio de Agricultura y Desarrollo Rural - MADR
COL031,Unico encuentro,Ministerio de Educación Nacional
COL032,Unico encuentro,Ministerio de Transporte
COL033,Apertura,Instituto Colombiano de Bienestar Familiar - ICBF
COL033,Seguimiento,Instituto Colombiano de Bienestar Familiar - ICBF
COL033,Seguimiento,Instituto Colombiano de Bienestar Familiar - ICBF
COL033,Cierre,Instituto Colombiano de Bienestar Familiar - ICBF
COL034,Apertura,Instituto Colombiano de Bienestar Familiar - ICBF
COL034,Seguimiento,Instituto Colombiano de Bienestar Familiar - ICBF
COL034,Seguimiento,Instituto Colombiano de Bienestar Familiar - ICBF
COL034,Seguimiento,Instituto Colombiano de Bienestar Familiar - ICBF
COL034,Cierre,Instituto Colombiano de Bienestar Familiar - ICBF
